Runs,Wickets,Catches,Opponent,Ground,Date
DNB,-,1, England,Durban,2007-09-19
50*,-,0, South Africa,Durban,2007-09-20
8*,-,0, Australia,Durban,2007-09-22
30*,-,1, Pakistan,Johannesburg,2007-09-24
DNB,-,0, Australia,Brabourne,2007-10-20
8,-,0, Australia,Melbourne,2008-02-01
4,-,0, Sri Lanka,Colombo (RPS),2009-02-10
7,-,0, New Zealand,Christchurch,2009-02-25
36,-,0, Bangladesh,Nottingham,2009-06-06
52*,-,0, Ireland,Nottingham,2009-06-10
5,-,0, West Indies,Lord's,2009-06-12
9,-,0, England,Lord's,2009-06-14
29,0,0, South Africa,Nottingham,2009-06-16
3,1,0, Sri Lanka,Nagpur,2009-12-09
79*,-,0, Australia,Bridgetown,2010-05-07
5,-,2, West Indies,Bridgetown,2010-05-09
DNB,-,0, Sri Lanka,Gros Islet,2010-05-11
10,-,1, Zimbabwe,Harare,2010-06-12
0*,-,1, Zimbabwe,Harare,2010-06-13
53,-,1, South Africa,Durban,2011-01-09
26,-,0, West Indies,Port of Spain,2011-06-04
1,0,1, England,Manchester,2011-08-31
0,0,0, Australia,Sydney,2012-02-01
DNB,-,0, Australia,Melbourne,2012-02-03
DNB,0,3, South Africa,Johannesburg,2012-03-30
DNB,0,0, Sri Lanka,Pallekele,2012-08-07
4*,-,0, New Zealand,Chennai,2012-09-11
1*,0,1, Afghanistan,Colombo (RPS),2012-09-19
55*,-,0, England,Colombo (RPS),2012-09-23
1,0,0, Australia,Colombo (RPS),2012-09-28
DNB,-,1, Pakistan,Colombo (RPS),2012-09-30
25,0,1, South Africa,Colombo (RPS),2012-10-02
24,-,0, England,Wankhede,2012-12-22
2,-,0, Pakistan,Bengaluru,2012-12-25
4*,-,1, Pakistan,Ahmedabad,2012-12-28
8,-,0, Australia,Rajkot,2013-10-10
24,-,0, Pakistan,Mirpur,2014-03-21
62*,-,1, West Indies,Mirpur,2014-03-23
56,-,1, Bangladesh,Mirpur,2014-03-28
5,-,1, Australia,Mirpur,2014-03-30
24,-,1, South Africa,Mirpur,2014-04-04
29,-,0, Sri Lanka,Mirpur,2014-04-06
106,-,0, South Africa,Dharamsala,2015-10-02
22,-,1, South Africa,Cuttack,2015-10-05
31,-,0, Australia,Adelaide,2016-01-26
60,-,0, Australia,Melbourne,2016-01-29
52,-,0, Australia,Sydney,2016-01-31
0,-,0, Sri Lanka,Pune,2016-02-09
43,-,0, Sri Lanka,Ranchi,2016-02-12
13,-,0, Sri Lanka,Visakhapatnam,2016-02-14
83,-,1, Bangladesh,Mirpur,2016-02-24
0,-,0, Pakistan,Mirpur,2016-02-27
15,-,0, Sri Lanka,Mirpur,2016-03-01
39,-,0, U.A.E.,Mirpur,2016-03-03
1,-,0, Bangladesh,Mirpur,2016-03-06
5,-,0, New Zealand,Nagpur,2016-03-15
10,-,0, Pakistan,Eden Gardens,2016-03-19
18,-,0, Bangladesh,Bengaluru,2016-03-23
12,-,0, Australia,Mohali,2016-03-27
43,-,1, West Indies,Wankhede,2016-03-31
62,-,0, West Indies,Lauderhill,2016-08-27
10*,-,0, West Indies,Lauderhill,2016-08-28
9,-,0, Sri Lanka,Colombo (RPS),2017-09-06
11,-,0, Australia,Ranchi,2017-10-07
8,-,0, Australia,Guwahati,2017-10-10
80,-,1, New Zealand,Delhi,2017-11-01
5,-,1, New Zealand,Rajkot,2017-11-04
8,-,1, New Zealand,Thiruvananthapuram,2017-11-07
17,-,0, Sri Lanka,Cuttack,2017-12-20
118,-,0, Sri Lanka,Indore,2017-12-22
27,-,1, Sri Lanka,Wankhede,2017-12-24
21,-,0, South Africa,Johannesburg,2018-02-18
0,-,0, South Africa,Centurion,2018-02-21
11,-,2, South Africa,Cape Town,2018-02-24
0,-,0, Sri Lanka,Colombo (RPS),2018-03-06
17,-,0, Bangladesh,Colombo (RPS),2018-03-08
11,-,1, Sri Lanka,Colombo (RPS),2018-03-12
89,-,0, Bangladesh,Colombo (RPS),2018-03-14
56,-,0, Bangladesh,Colombo (RPS),2018-03-18
97,-,0, Ireland,Dublin (Malahide),2018-06-27
0,-,0, Ireland,Dublin (Malahide),2018-06-29
32,-,0, England,Manchester,2018-07-03
5,-,0, England,Cardiff,2018-07-06
100*,-,0, England,Bristol,2018-07-08
6,-,0, West Indies,Eden Gardens,2018-11-04
111*,-,3, West Indies,Lucknow,2018-11-06
4,-,0, West Indies,Chennai,2018-11-11
7,-,0, Australia,Brisbane,2018-11-21
TDNB,-,0, Australia,Melbourne,2018-11-23
23,-,1, Australia,Sydney,2018-11-25
1,-,0, New Zealand,Wellington,2019-02-06
50,-,2, New Zealand,Auckland,2019-02-08
38,-,0, New Zealand,Hamilton,2019-02-10
5,-,0, Australia,Visakhapatnam,2019-02-24
24,-,0, West Indies,Lauderhill,2019-08-03
67,-,0, West Indies,Lauderhill,2019-08-04
12,-,0, South Africa,Mohali,2019-09-18
9,-,0, South Africa,Bengaluru,2019-09-22
9,-,0, Bangladesh,Delhi,2019-11-03
85,-,1, Bangladesh,Rajkot,2019-11-07
2,-,0, Bangladesh,Nagpur,2019-11-10
8,-,2, West Indies,Hyderabad,2019-12-06
15,-,0, West Indies,Thiruvananthapuram,2019-12-08
71,-,0, West Indies,Wankhede,2019-12-11
7,-,1, New Zealand,Auckland,2020-01-24
8,-,1, New Zealand,Auckland,2020-01-26
65,-,0, New Zealand,Hamilton,2020-01-29
60*,-,0, New Zealand,Mount Maunganui,2020-02-02
